bioguide,caucus,chamber,class,contact_form,district,end,fax,last,name,office,party,party_affiliations,phone,relation,rss_url,start,state,state_rank,title,type,url
B000944,,,,,13.0,1995-01-03,,,,,Democrat,,,,,1993-01-05,OH,,,rep,
B000944,,,,,13.0,1997-01-03,,,,,Democrat,,,,,1995-01-04,OH,,,rep,
B000944,,,,,13.0,1999-01-03,,,,,Democrat,,,,,1997-01-07,OH,,,rep,
B000944,,,,,13.0,2001-01-03,,,,,Democrat,,,,,1999-01-06,OH,,,rep,
B000944,,,,,13.0,2003-01-03,,,,,Democrat,,,,,2001-01-03,OH,,,rep,
B000944,,,,,13.0,2005-01-03,,,,,Democrat,,,,,2003-01-07,OH,,,rep,http://www.house.gov/sherrodbrown
B000944,,,,,13.0,2007-01-03,,,,,Democrat,,,,,2005-01-04,OH,,,rep,http://www.house.gov/sherrodbrown
B000944,,,1.0,http://www.brown.senate.gov/contact/,,2013-01-03,202-228-6321,,,713 Hart Senate Office Building,Democrat,,202-224-2315,,,2007-01-04,OH,,,sen,http://brown.senate.gov/
B000944,,,1.0,http://www.brown.senate.gov/contact,,2019-01-03,202-228-6321,,,713 Hart Senate Office Building,Democrat,,202-224-2315,,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,2013-01-03,OH,senior,,sen,https://www.brown.senate.gov
C000127,,,,,1.0,1995-01-03,,,,,Democrat,,,,,1993-01-05,WA,,,rep,
C000127,,,1.0,,,2007-01-03,,,,,Democrat,,,,,2001-01-03,WA,,,sen,http://cantwell.senate.gov
C000127,,,1.0,http://www.cantwell.senate.gov/contact/,,2013-01-03,202-228-0514,,,311 Hart Senate Office Building,Democrat,,202-224-3441,,,2007-01-04,WA,,,sen,http://cantwell.senate.gov
C000127,,,1.0,http://www.cantwell.senate.gov/public/index.cfm/email-maria,,2019-01-03,202-228-0514,,,511 Hart Senate Office Building,Democrat,,202-224-3441,,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,2013-01-03,WA,junior,,sen,https://www.cantwell.senate.gov
C000141,,,,,3.0,1989-01-03,,,,,Democrat,,,,,1987-01-06,MD,,,rep,
C000141,,,,,3.0,1991-01-03,,,,,Democrat,,,,,1989-01-03,MD,,,rep,
C000141,,,,,3.0,1993-01-03,,,,,Democrat,,,,,1991-01-03,MD,,,rep,
C000141,,,,,3.0,1995-01-03,,,,,Democrat,,,,,1993-01-05,MD,,,rep,
C000141,,,,,3.0,1997-01-03,,,,,Democrat,,,,,1995-01-04,MD,,,rep,
C000141,,,,,3.0,1999-01-03,,,,,Democrat,,,,,1997-01-07,MD,,,rep,
C000141,,,,,3.0,2001-01-03,,,,,Democrat,,,,,1999-01-06,MD,,,rep,
C000141,,,,,3.0,2003-01-03,,,,,Democrat,,,,,2001-01-03,MD,,,rep,
C000141,,,,,3.0,2005-01-03,,,,,Democrat,,,,,2003-01-07,MD,,,rep,http://www.house.gov/cardin
C000141,,,,,3.0,2007-01-03,,,,,Democrat,,,,,2005-01-04,MD,,,rep,http://www.house.gov/cardin
C000141,,,1.0,http://www.cardin.senate.gov/contact/,,2013-01-03,202-224-1651,,,509 Hart Senate Office Building,Democrat,,202-224-4524,,,2007-01-04,MD,,,sen,http://cardin.senate.gov/
C000141,,,1.0,http://www.cardin.senate.gov/contact/,,2019-01-03,202-224-1651,,,509 Hart Senate Office Building,Democrat,,202-224-4524,,http://www.cardin.senate.gov/rss/feeds/?type=all,2013-01-03,MD,senior,,sen,https://www.cardin.senate.gov
C000174,,,,,0.0,1985-01-03,,,,,Democrat,,,,,1983-01-03,DE,,,rep,
C000174,,,,,0.0,1987-01-03,,,,,Democrat,,,,,1985-01-03,DE,,,rep,
C000174,,,,,0.0,1989-01-03,,,,,Democrat,,,,,1987-01-06,DE,,,rep,
C000174,,,,,0.0,1991-01-03,,,,,Democrat,,,,,1989-01-03,DE,,,rep,
C000174,,,,,0.0,1993-01-03,,,,,Democrat,,,,,1991-01-03,DE,,,rep,
C000174,,,1.0,,,2007-01-03,,,,,Democrat,,,,,2001-01-03,DE,,,sen,http://carper.senate.gov
C000174,,,1.0,http://www.carper.senate.gov/contact/,,2013-01-03,202-228-2190,,,513 Hart Senate Office Building,Democrat,,202-224-2441,,,2007-01-04,DE,,,sen,http://carper.senate.gov
C000174,,,1.0,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,,2019-01-03,202-228-2190,,,513 Hart Senate Office Building,Democrat,,202-224-2441,,http://www.carper.senate.gov/public/index.cfm/rss/feed,2013-01-03,DE,senior,,sen,http://www.carper.senate.gov/public
C001070,,,1.0,http://www.casey.senate.gov/contact/,,2013-01-03,202-228-0604,,,393 Russell Senate Office Building,Democrat,,202-224-6324,,,2007-01-04,PA,,,sen,http://casey.senate.gov/
C001070,,,1.0,http://www.casey.senate.gov/contact/,,2019-01-03,202-228-0604,,,393 Russell Senate Office Building,Democrat,,202-224-6324,,http://www.casey.senate.gov/rss/feeds/?all,2013-01-03,PA,senior,,sen,https://www.casey.senate.gov
C001071,,,1.0,http://www.corker.senate.gov/public/index.cfm?p=ContactMe,,2013-01-03,202-228-0566,,,185 Dirksen Senate Office Building,Republican,,202-224-3344,,,2007-01-04,TN,,,sen,http://corker.senate.gov/
C001071,,,1.0,http://www.corker.senate.gov/public/index.cfm/emailme,,2019-01-03,202-228-0566,,,425 Dirksen Senate Office Building,Republican,,202-224-3344,,http://www.corker.senate.gov/public/index.cfm/rss/feed,2013-01-03,TN,junior,,sen,http://www.corker.senate.gov
F000062,,,1.0,,,1995-01-03,,,,,Democrat,,,,,1992-11-10,CA,,,sen,
F000062,,,1.0,,,2001-01-03,,,,,Democrat,,,,,1995-01-04,CA,,,sen,
F000062,,,1.0,,,2007-01-03,,,,,Democrat,,,,,2001-01-03,CA,,,sen,http://feinstein.senate.gov
F000062,,,1.0,http://www.feinstein.senate.gov/public/index.cfm/e-mail-me,,2013-01-03,202-228-3954,,,331 Hart Senate Office Building,Democrat,,202-224-3841,,,2007-01-04,CA,,,sen,http://feinstein.senate.gov
F000062,,,1.0,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,,2019-01-03,202-228-3954,,,331 Hart Senate Office Building,Democrat,,202-224-3841,,http://www.feinstein.senate.gov/public/?a=rss.feed,2013-01-03,CA,senior,,sen,http://www.feinstein.senate.gov
H000338,,,1.0,,,1983-01-03,,,,,Republican,,,,,1977-01-04,UT,,,sen,
H000338,,,1.0,,,1989-01-03,,,,,Republican,,,,,1983-01-03,UT,,,sen,
H000338,,,1.0,,,1995-01-03,,,,,Republican,,,,,1989-01-03,UT,,,sen,
H000338,,,1.0,,,2001-01-03,,,,,Republican,,,,,1995-01-04,UT,,,sen,
H000338,,,1.0,,,2007-01-03,,,,,Republican,,,,,2001-01-03,UT,,,sen,http://hatch.senate.gov/
H000338,,,1.0,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,,2013-01-03,202-224-6331,,,104 Hart Senate Office Building,Republican,,202-224-5251,,,2007-01-04,UT,,,sen,http://hatch.senate.gov/
