bioguide,chamber,class,contact_form,district,end,fax,last,middle,name,office,party,party_affiliations,phone,relation,rss_url,start,state,state_rank,title,type,url
B000226,,2.0,,,1793-03-03,,,,,,Anti-Administration,,,,,1789-03-04,DE,,,sen,
B000546,,,,9.0,1791-03-03,,,,,,,,,,,1789-03-04,VA,,,rep,
B001086,,,,2.0,1791-03-03,,,,,,,,,,,1789-03-04,SC,,,rep,
C000187,,,,6.0,1791-03-03,,,,,,,,,,,1789-03-04,MD,,,rep,
C000538,,,,-1.0,1791-03-03,,,,,,,,,,,1789-03-04,PA,,,rep,
C000710,,,,3.0,1791-03-03,,,,,,,,,,,1789-03-04,MD,,,rep,
D000013,,1.0,,,1791-03-03,,,,,,Pro-Administration,,,,,1789-03-04,MA,,,sen,
E000155,,1.0,,,1791-03-03,,,,,,Pro-Administration,,,,,1789-03-04,NJ,,,sen,
F000100,,2.0,,,1793-03-03,,,,,,Anti-Administration,,,,,1789-03-04,GA,,,sen,
F000224,,,,1.0,1791-03-03,,,,,,,,,,,1789-03-04,NY,,,rep,
G000012,,,,5.0,1791-03-03,,,,,,,,,,,1789-03-04,MD,,,rep,
G000403,,1.0,,,1791-03-03,,,,,,Anti-Administration,,,,,1789-03-04,VA,,,sen,
G000500,,,,8.0,1791-03-03,,,,,,,,,,,1789-03-04,MA,,,rep,
H000368,,3.0,,,1795-03-03,,,,,,Pro-Administration,,,,,1789-03-04,NC,,,sen,
H000995,,,,-1.0,1791-03-03,,,,,,,,,,,1789-03-04,CT,,,rep,
I000053,,3.0,,,1795-03-03,,,,,,Pro-Administration,,,,,1789-03-04,SC,,,sen,
J000182,,3.0,,,1791-12-31,,,,,,Pro-Administration,,,,,1789-03-04,CT,,,sen,
J000198,,2.0,,,1793-03-03,,,,,,Pro-Administration,,,,,1789-03-04,NC,,,sen,
L000201,,2.0,,,1793-03-03,,,,,,Anti-Administration,,,,,1789-03-04,VA,,,sen,
M000031,,1.0,,,1791-03-03,,,,,,Anti-Administration,,,,,1789-03-04,PA,,,sen,
M000234,,,,3.0,1791-03-03,,,,,,,,,,,1789-03-04,GA,,,rep,
M000985,,3.0,,,1795-03-03,,,,,,Pro-Administration,,,,,1789-03-04,PA,,,sen,
P000092,,,,5.0,1791-03-03,,,,,,,,,,,1789-03-04,MA,,,rep,
P000102,,2.0,,,1791-03-03,,,,,,Pro-Administration,,,,,1789-03-04,NJ,,,sen,
S000624,,,,4.0,1791-03-03,,,,,,,,,,,1789-03-04,MD,,,rep,
S000961,,,,1.0,1791-03-03,,,,,,,,,,,1789-03-04,MD,,,rep,
V000053,,,,6.0,1791-03-03,,,,,,,,,,,1789-03-04,NY,,,rep,
W000783,,,,-1.0,1791-03-03,,,,,,,,,,,1789-03-04,PA,,,rep,
D000324,,2.0,,,1793-03-03,,,,,,Pro-Administration,,,,,1790-01-01,NJ,,,sen,
W000059,,1.0,,,1791-03-03,,,,,,Pro-Administration,,,,,1790-01-01,VA,,,sen,
A000307,,,,1.0,1791-03-03,,,,,,,,,,,1789-03-04,NC,,,rep,
A000307,,,,3.0,1793-03-03,,,,,,,,,,,1791-10-24,NC,,,rep,
B000167,,,,2.0,1793-03-03,,,,,,,,,,,1791-10-24,SC,,,rep,
B001133,,1.0,,,1797-03-03,,,,,,Republican,,,,,1791-10-24,NY,,,sen,
C000009,,1.0,,,1797-03-03,,,,,,Federalist,,,,,1791-10-24,MA,,,sen,
C000185,,1.0,,,1791-03-03,,,,,,Pro-Administration,,,,,1789-03-04,MD,,,sen,
C000185,,1.0,,,1793-03-03,,,,,,,,,,,1791-10-24,MD,,,sen,
E000147,,1.0,,,1791-03-03,,,,,,Pro-Administration,,,,,1789-03-04,CT,,,sen,
E000147,,1.0,,,1797-03-03,,,,,,Federalist,,,,,1791-10-24,CT,,,sen,
G000139,,,,3.0,1791-03-03,,,,,,,,,,,1789-03-04,MA,,,rep,
G000139,,,,3.0,1793-03-03,,,,,,,,,,,1791-10-24,MA,,,rep,
H000916,,,,3.0,1791-03-03,,,,,,,,,,,1789-03-04,SC,,,rep,
H000916,,,,3.0,1793-03-03,,,,,,,,,,,1791-10-24,SC,,,rep,
J000036,,,,3.0,1793-03-03,,,,,,,,,,,1791-10-24,PA,,,rep,
K000158,,,,1.0,1793-03-03,,,,,,,,,,,1791-10-24,MD,,,rep,
R000091,,1.0,,,1791-03-03,,,,,,Pro-Administration,,,,,1789-03-04,DE,,,sen,
R000091,,1.0,,,1793-12-31,,,,,,,,,,,1791-10-24,DE,,,sen,
R000350,,1.0,,,1796-10-15,,,,,,Anti-Administration,,,,,1791-10-24,VT,,,sen,
S000140,,,,4.0,1793-03-03,,,,,,,,,,,1791-10-24,NY,,,rep,
S000242,,,,2.0,1791-03-03,,,,,,,,,,,1789-03-04,MD,,,rep,
S000242,,,,2.0,1793-03-03,,,,,,,,,,,1791-10-24,MD,,,rep,
S000340,,,,6.0,1793-03-03,,,,,,,,,,,1791-10-24,MD,,,rep,
S000349,,,,-1.0,1791-03-03,,,,,,Pro-Administration,,,,,1789-03-04,CT,,,rep,
S000349,,3.0,,,1793-12-31,,,,,,Pro-Administration,,,,,1791-10-24,CT,,,sen,
S000412,,,,5.0,1791-03-03,,,,,,,,,,,1789-03-04,NY,,,rep,
S000412,,,,5.0,1793-03-03,,,,,,,,,,,1791-10-24,NY,,,rep,
S000832,,,,4.0,1791-03-03,,,,,,,,,,,1789-03-04,NC,,,rep,
S000832,,,,1.0,1793-03-03,,,,,,,,,,,1791-10-24,NC,,,rep,
S000866,,,,4.0,1793-03-03,,,,,,,,,,,1791-10-24,MD,,,rep,
S001047,,,,-1.0,1791-03-03,,,,,,,,,,,1789-03-04,CT,,,rep,
S001047,,,,-1.0,1793-03-03,,,,,,,,,,,1791-10-24,CT,,,rep,
T000403,,,,5.0,1791-03-03,,,,,,,,,,,1789-03-04,SC,,,rep,
T000403,,,,5.0,1793-03-03,,,,,,,,,,,1791-10-24,SC,,,rep,
W000216,,,,1.0,1793-03-03,,,,,,,,,,,1791-10-24,GA,,,rep,
W000352,,,,1.0,1791-03-03,,,,,,,,,,,1789-03-04,VA,,,rep,
W000352,,,,1.0,1793-03-03,,,,,,,,,,,1791-10-24,VA,,,rep,
W000551,,,,2.0,1791-03-03,,,,,,Federalist,,,,,1789-03-04,NC,,,rep,
W000551,,,,4.0,1793-03-03,,,,,,Federalist,,,,,1791-10-24,NC,,,rep,
W000560,,,,3.0,1793-03-03,,,,,,,,,,,1791-10-24,GA,,,rep,
E000075,,3.0,,,1795-03-03,,,,,,Anti-Administration,,,,,1792-01-01,KY,,,sen,
P000473,,3.0,,,1796-10-14,,,,,,Federalist,,,,,1793-01-10,MD,,,sen,
A000280,,,,-1.0,1795-03-03,,,,,,,,,,,1793-12-02,PA,,,rep,
B000282,,,,-1.0,1795-03-03,,,,,,,,,,,1793-12-02,NJ,,,rep,
B000661,,,,-1.0,1791-03-03,,,,,,,,,,,1789-03-04,NJ,,,rep,
B000661,,,,-1.0,1793-03-03,,,,,,,,,,,1791-10-24,NJ,,,rep,
B000661,,,,-1.0,1795-03-03,,,,,,,,,,,1793-12-02,NJ,,,rep,
B000671,,,,5.0,1793-03-03,,,,,,,,,,,1791-10-24,MA,,,rep,
B000671,,,,3.0,1795-03-03,,,,,,,,,,,1793-12-02,MA,,,rep,
B000739,,2.0,,,1797-12-31,,,,,,Federalist,,,,,1793-12-02,RI,,,sen,
C000012,,,,-1.0,1791-03-03,,,,,,,,,,,1789-03-04,NJ,,,rep,
C000012,,,,-1.0,1795-03-03,,,,,,,,,,,1793-12-02,NJ,,,rep,
C000163,,,,-1.0,1795-03-03,,,,,,,,,,,1793-12-02,GA,,,rep,
