bioguide,facebook,facebook_id,govtrack,instagram,instagram_id,thomas,twitter,twitter_id,youtube,youtube_id
R000600,congresswomanaumuaamata,1537155909907320,412664.0,,,02222,RepAmata,3026622545.0,,UCGdrLQbt1PYDTPsampx4t1A
Y000064,RepToddYoung,186203844738421,412428.0,,,02019,RepToddYoung,234128524.0,RepToddYoung,UCuknj4PGn91gHDNAfboZEgQ
E000295,senjoniernst,351671691660938,412667.0,senjoniernst,1582702853.0,02283,SenJoniErnst,2856787757.0,,UCLwrmtF_84FIcK3TyMs4MIw
T000476,SenatorThomTillis,1576257352609470,412668.0,,,02291,senthomtillis,2964174789.0,,UCUD9VGV4SSGWjGdbn37Ea2w
Y000063,CongressmanKevinYoder,154026694650252,412430.0,,,02021,RepKevinYoder,252819642.0,RepYoder,UCCeYmn4A8kZEHCcAfeUW9lQ
Y000062,214258646163,214258646163,412211.0,,,01853,RepJohnYarmuth,384913290.0,RepJohnYarmuth,UCy5KW4yrEfEiyZRX45Eoxkg
Y000033,RepDonYoung,7476269851,400440.0,,,01256,RepDonYoung,37007274.0,RepDonYoung,UCg5ZIR5-82EbJiNeI1bqT-A
W000809,RepSteveWomack,135898413136490,412402.0,,,01991,Rep_SteveWomack,234469322.0,CongressmanWomack,UCXJbUDLYX-wGIhRuN66hqZw
W000808,RepWilson,162327487151626,412412.0,,,02004,RepWilson,234014087.0,repfredericawilson,UCP5QBhng_lHv-vJgE_h7lpA
W000806,RepWebster,188572961157305,412410.0,,,02002,RepWebster,281540744.0,repdanwebster,UCCoX4VdU7U11eGEA0lbRtLw
W000805,MarkRWarner,7935122852,412321.0,senatorwarner,515327940.0,01897,MarkWarner,7429102.0,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw
W000804,RepRobWittman,38932542633,412255.0,,,01886,RobWittman,15356407.0,RobWittman,UCIqIb-OaTbkIdU426eYIdPg
W000802,SenatorWhitehouse,194172833926853,412247.0,SenWhitehouse,,01823,SenWhitehouse,242555999.0,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA
W000800,PeterWelch,72680720883,412239.0,peterwelchvt,1559860900.0,01879,PeterWelch,1410590874.0,reppeterwelch,UC0YfApJx6qNaAQ-ir93U8xA
